Year,Month,State,Utility Number,Utility Name,Data Status,Residential,Commercial,Industrial,Transportation,Total
2020,1,AK,219,Alaska Power and Telephone Co,Preliminary,4,2,0,0,6
2020,1,AK,599,Anchorage Municipal Light and Power,Preliminary,162,21,0,0,183
2020,1,AK,3522,Chugach Electric Assn Inc,Preliminary,221,35,0,0,256
2020,1,AK,7353,Golden Valley Elec Assn Inc,Preliminary,253,27,4,0,284
2020,1,AK,11824,Matanuska Electric Assn Inc,Preliminary,174,16,0,0,190
2020,1,AK,19558,Homer Electric Assn Inc,Preliminary,223,25,0,0,248
2020,1,AK,99999,Adjustment 2020,Preliminary,0,0,0,0,0
2020,1,AL,99999,Adjustment 2020,Preliminary,0,0,0,0,0
2020,1,AR,814,Entergy Arkansas LLC,Preliminary,571,78,16,0,665
2020,1,AR,817,Arkansas Valley Elec Coop Corp,Preliminary,120,4,0,0,124
2020,1,AR,3093,Carroll Electric Coop Corp - (AR),Preliminary,499,0,0,0,499
2020,1,AR,5860,Empire District Electric Co,Preliminary,23,0,0,0,23
2020,1,AR,6342,First Electric Coop Corp,Preliminary,188,0,0,0,188
2020,1,AR,13718,City of North Little Rock - (AR),Preliminary,37,5,0,0,42
2020,1,AR,14063,Oklahoma Gas & Electric Co,Preliminary,61,5,0,0,66
2020,1,AR,17698,Southwestern Electric Power Co,Preliminary,188,31,1,0,220
2020,1,AR,99999,Adjustment 2020,Preliminary,0,0,0,0,0
2020,1,AZ,176,Ajo Improvement Co,Preliminary,4,3,0,0,7
2020,1,AZ,803,Arizona Public Service Co,Preliminary,102863,1712,0,0,104575
2020,1,AZ,12919,Morenci Water and Electric,Preliminary,0,3,0,0,3
2020,1,AZ,16572,Salt River Project,Preliminary,24206,702,3,0,24911
2020,1,AZ,19189,Trico Electric Cooperative Inc,Preliminary,2594,45,0,0,2639
2020,1,AZ,19728,"UNS Electric, Inc",Preliminary,3745,181,0,0,3926
2020,1,AZ,21538,"Mohave Electric Cooperative, I",Preliminary,804,81,0,0,885
2020,1,AZ,24211,Tucson Electric Power Co,Preliminary,24915,819,0,0,25734
2020,1,AZ,99999,Adjustment 2020,Preliminary,0,0,0,0,0
2020,1,CA,4390,City of Corona - (CA),Preliminary,7,1,0,0,8
2020,1,CA,9216,Imperial Irrigation District,Preliminary,5701,266,0,0,5967
2020,1,CA,11208,Los Angeles Department of Water & Power,Preliminary,43826,1472,0,0,45298
2020,1,CA,12745,Modesto Irrigation District,Preliminary,5905,129,46,0,6080
2020,1,CA,14328,Pacific Gas & Electric Co.,Preliminary,460179,12252,4022,0,476453
2020,1,CA,14354,PacifiCorp,Preliminary,481,54,18,0,553
2020,1,CA,14534,City of Pasadena - (CA),Preliminary,1412,69,0,0,1481
2020,1,CA,16534,Sacramento Municipal Util Dist,Preliminary,29405,522,48,0,29975
2020,1,CA,16609,San Diego Gas & Electric Co,Preliminary,177647,4132,129,0,181908
2020,1,CA,16655,City of Santa Clara - (CA),Preliminary,257,9,0,0,266
2020,1,CA,17609,Southern California Edison Co,Preliminary,336245,7073,530,0,343848
2020,1,CA,17612,Bear Valley Electric Service,Preliminary,422,25,0,0,447
2020,1,CA,18260,Surprise Valley Electrification,Preliminary,2,2,0,0,4
2020,1,CA,19281,Turlock Irrigation District,Preliminary,2040,63,102,0,2205
2020,1,CA,99999,Adjustment 2020,Preliminary,0,0,0,0,0
2020,1,CO,3989,City of Colorado Springs - (CO),Preliminary,3201,703,0,0,3904
2020,1,CO,6604,City of Fort Collins - (CO),Preliminary,1803,62,8,0,1873
2020,1,CO,9336,Intermountain Rural Elec Assn,Preliminary,2864,4,0,0,2868
2020,1,CO,12866,Moon Lake Electric Assn Inc,Preliminary,1,5,0,0,6
2020,1,CO,15257,"Poudre Valley REA, Inc",Preliminary,852,22,2,0,876
2020,1,CO,15466,Public Service Co of Colorado,Preliminary,31475,2308,13,0,33796
2020,1,CO,16603,"San Luis Valley R E C, Inc",Preliminary,104,11,6,0,121
2020,1,CO,19499,"United Power, Inc",Preliminary,4401,16,1,0,4418
2020,1,CO,27058,"High West Energy, Inc",Preliminary,1,0,0,0,1
2020,1,CO,56146,"Black Hills Colorado Electric, LLC",Preliminary,1151,216,2,0,1369
2020,1,CO,99999,Adjustment 2020,Preliminary,0,0,0,0,0
